index,lat,long,station_code,altitude
0,45.51252,-73.57061999999999,6209,51.0
1,45.48645209646392,-73.59523415565491,6436,58.0
2,45.51735,-73.56906,6214,48.0
3,45.518593,-73.58156600000001,6248,66.0
4,45.5329550401632,-73.58419418334961,6164,54.0
5,45.514959999999995,-73.58503,6216,72.0
6,45.550613,-73.582883,6082,68.0
7,45.53867,-73.56936,6149,47.0
8,45.539259,-73.577338,6265,53.0
9,45.515609999999995,-73.57569000000001,6211,50.0
10,45.53318,-73.61544,6252,60.0
11,45.524295872822634,-73.60484719276428,6233,74.0
12,45.50038,-73.57507,6064,62.0
13,45.4891,-73.57656,6408,19.0
14,45.50297,-73.57505,6068,50.0
15,45.49132174886071,-73.58780980110168,6093,57.0
16,45.53973680304488,-73.61425638198854,6253,59.0
17,45.542794353049906,-73.61810535192491,6336,58.0
18,45.516999999999996,-73.589,6223,69.0
19,45.49863930330429,-73.57422709465027,6062,47.0
20,45.47742856483265,-73.60016942024231,6434,51.0
21,45.49741095430152,-73.57827052474022,6099,52.0
22,45.524504989237535,-73.59414249658585,6280,66.0
23,45.535340600000005,-73.60365897,6912,66.0
24,45.52223310369562,-73.60208183526994,6231,75.0
25,45.51059,-73.57547,6206,49.0
26,45.513338,-73.57295,6411,48.0
27,45.52111622098953,-73.59478354454039,6227,69.0
28,45.496590000000005,-73.57851,6100,52.0
29,45.549910693591,-73.55826258659361,6364,49.0
30,45.551584000000005,-73.561916,6380,48.0
31,45.54722664525074,-73.56986984610558,6373,47.0
32,45.523171000000005,-73.573431,6176,49.0
33,45.529033,-73.54641,6110,23.0
34,45.5219,-73.55534,6113,28.0
35,45.50068473942228,-73.57215642929076,6059,54.0
36,45.529740000000004,-73.59527,6198,70.0
37,45.51941,-73.58685,6221,69.0
38,45.514784000000006,-73.565338,6020,30.0
39,45.50781,-73.57208,6203,50.0
40,45.52290738118557,-73.5683637857437,6146,46.0
41,45.54211889,-73.62254709999999,6734,61.0
42,45.49449932378212,-73.57417345046997,6080,46.0
43,45.52969260094507,-73.56740087270738,6137,47.0
44,45.500675,-73.565354,6042,61.0
45,45.54640752148168,-73.63842844963074,6410,35.0
46,45.54993323340168,-73.64764451980591,6917,32.0
47,45.545199700000005,-73.57645065,6372,54.0
48,45.553408000000005,-73.56953100000001,6374,57.0
49,45.50015,-73.56928,6060,67.0
50,45.5287456,-73.57865408,6157,50.0
51,45.50176,-73.57128,6061,54.0
52,45.52729,-73.56463000000001,6148,51.0
53,45.48149081388885,-73.56475353240967,6350,17.0
54,45.53543,-73.5822,6163,52.0
55,45.524673,-73.58255,6184,51.0
56,45.5171,-73.57921,6213,58.0
57,45.503475,-73.572103,6067,59.0
58,45.52742616970635,-73.57991807162763,6169,50.0
59,45.513830045145404,-73.56043249368669,6901,34.0
60,45.53529548038031,-73.55116009712218,6128,27.0
61,45.531834,-73.553478,6124,22.0
62,45.500674,-73.561082,6041,31.0
63,45.497595054136035,-73.55523705482483,6049,20.0
64,45.527791,-73.572056,6142,49.0
